Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(unable to sub-type),A(Subtyping not performed),B,BVIC,BYAM,Total # Tested
201640,0,9,86,0,0,1,5,4,897
201641,0,11,81,0,0,3,7,6,970
201642,0,12,134,0,2,1,8,10,1140
201643,0,13,130,0,1,6,3,3,1170
201644,0,12,122,0,3,3,10,7,1296
201645,0,5,155,0,1,5,6,1,1275
201646,0,9,189,0,2,13,7,1,1351
201647,0,5,164,0,14,10,4,3,1099
201648,0,13,318,0,12,17,17,5,1716
201649,0,14,479,0,3,3,20,7,1878
201650,0,18,750,0,9,16,27,18,2245
201651,0,29,1016,0,11,16,38,28,2504
201652,0,32,1676,0,31,13,59,37,3287
201701,0,53,2067,0,13,19,47,60,3926
201702,0,49,2209,0,30,25,49,76,4341
201703,0,57,2252,0,24,26,69,104,4269
201704,0,47,2431,0,29,30,70,123,4557
201705,0,51,2590,0,30,50,96,182,5079
201706,0,71,2972,0,23,47,126,240,5514
201707,0,68,2617,0,17,104,153,300,5332
201708,0,87,2364,0,12,89,159,353,5052
201709,0,54,1491,0,13,102,149,358,3988
201710,0,50,1256,0,14,109,136,389,3616
201711,0,27,908,0,12,126,139,438,3237
201712,0,31,832,0,4,120,188,522,3197
201713,0,27,640,0,3,202,141,576,3001
201714,0,17,361,0,1,123,117,450,2283
201715,0,5,220,0,1,89,65,372,1707
201716,0,11,143,0,1,80,51,246,1537
201717,0,7,133,0,1,55,46,176,1301
201718,0,5,80,0,2,53,29,121,1031
201719,0,3,95,0,2,39,37,115,886
201720,0,5,63,0,1,34,32,111,779
201721,0,7,41,0,0,23,26,80,628
201722,0,1,39,0,0,17,50,60,529
201723,0,5,30,0,0,19,22,63,438
201724,0,8,41,0,1,9,11,44,383
201725,0,5,40,0,0,8,11,31,374
201726,0,4,36,0,1,7,4,21,348
201727,0,10,27,0,0,4,7,7,283
201728,2,4,31,0,0,11,5,9,339
201729,9,8,25,0,0,8,0,7,338
201730,0,7,30,0,1,3,1,21,309
201731,5,8,40,0,0,3,0,8,293
201732,0,4,43,0,0,7,0,20,290
201733,0,5,24,0,3,1,0,9,262
201734,0,6,51,0,1,8,0,8,324
201735,0,18,61,0,1,7,0,0,400
201736,0,11,101,0,1,4,0,10,385
201737,0,7,91,0,0,15,1,11,558
201738,17,2,73,0,1,10,1,9,580
201739,24,8,54,0,1,1,0,2,474
201740,1,13,123,0,3,5,0,16,1005
201741,0,14,143,0,1,4,4,13,996
201742,0,14,173,0,0,2,1,11,1187
201743,0,26,177,0,4,6,1,21,1349
201744,0,23,247,0,2,14,3,36,1501
201745,0,29,315,0,1,12,4,33,1512
201746,0,56,405,0,2,29,5,61,1826
201747,0,41,491,0,2,10,5,60,1570
201748,1,61,788,0,11,20,8,108,2329
201749,0,72,1056,0,4,31,16,103,2721
201750,0,137,1513,0,11,39,36,173,3472
201751,0,240,2490,0,19,79,39,258,4761
201752,0,278,2985,0,29,101,35,373,5355
201801,0,320,3310,0,39,165,45,465,6378
201802,0,400,3348,0,70,163,42,537,6889
201803,0,406,2726,0,50,189,47,536,6223
201804,0,540,2747,0,38,231,59,717,6861
201805,0,542,2488,0,39,305,91,802,6953
201806,0,543,2035,0,32,329,113,931,6430
201807,0,492,1496,0,22,251,113,927,5421
201808,0,297,1048,0,19,245,110,885,4450
201809,0,245,588,0,13,204,88,697,3528
201810,0,144,408,0,25,172,88,646,2994
201811,0,187,277,0,25,180,70,535,2493
201812,0,120,234,0,10,132,51,465,2210
201813,0,131,220,0,8,107,62,455,1937
201814,0,119,163,0,8,72,54,405,1877
201815,0,101,102,0,2,54,40,297,1444
201816,0,51,86,0,0,45,43,211,1144
201817,0,56,52,0,1,55,28,135,1000
201818,0,39,31,0,3,23,14,137,800
201819,0,16,20,0,0,8,6,68,576
201820,0,16,10,0,0,10,6,27,443
201821,0,18,6,0,0,8,4,20,338
201822,0,7,5,0,1,2,2,11,259
201823,0,6,3,0,1,3,3,9,283
201824,0,6,3,0,0,2,3,8,274
201825,1,1,3,0,0,0,3,6,210
201826,0,2,6,0,0,0,0,1,194
201827,0,9,5,0,0,1,0,6,125
201828,0,8,9,0,0,1,2,3,168
201829,0,15,5,0,0,3,2,4,171
201830,0,9,3,0,4,0,2,0,235
201831,0,7,10,0,6,0,0,1,184
201832,0,6,8,0,3,1,0,2,159
201833,0,5,9,0,6,1,0,2,175
201834,0,16,19,0,7,1,0,1,239
201835,0,10,6,0,0,0,0,2,246
201836,0,16,17,0,1,1,0,1,324
201837,0,28,13,0,1,0,0,3,400
201838,0,16,10,0,1,2,0,2,406
201839,0,4,3,0,2,0,0,3,355
201840,0,29,11,0,8,0,7,11,802
201841,0,52,11,0,8,5,3,5,918
201842,0,52,22,0,13,1,2,14,1112
201843,0,76,35,0,3,3,0,13,1120
201844,0,84,23,0,3,1,1,8,1247
201845,0,117,27,0,15,5,4,7,1337
201846,0,148,41,0,12,0,2,3,1421
201847,0,215,54,0,10,1,2,5,1131
201848,0,326,64,0,12,1,2,10,1706
201849,0,361,90,0,14,7,3,7,1733
201850,0,674,166,0,20,3,7,6,2194
201851,0,1115,248,0,79,9,20,8,2680
201852,0,1243,274,0,113,8,19,9,2571
201901,0,1182,305,0,161,6,6,17,2891
201902,0,1429,233,0,99,11,4,20,3292
201903,0,1475,366,0,116,9,17,16,3332
201904,0,1546,511,0,117,19,17,9,3550
201905,0,1678,806,0,72,11,24,18,4166
201906,0,1878,1202,0,76,17,18,11,4898
201907,0,1703,1305,0,57,23,29,18,4746
201908,0,1480,1501,0,77,57,28,12,4784
201909,0,1364,1781,0,96,39,33,10,4992
201910,0,1273,1804,0,107,60,39,27,4831
201911,0,1042,1796,0,89,54,54,31,4528
