forecast_date,location,target,target_end_date,type,quantile,value
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.01,2.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.025,3.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.05,4.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.1,6.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.15,7.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.2,8.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.25,8.75
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.3,9.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.35,10.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.4,11.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.45,13.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.5,13.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.55,14.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.6,15.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.65,16.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.7,17.299999999999955
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.75,18.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.8,20.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.85,21.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.9,23.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.95,26.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.975,29.0
2023-05-29,01,1 wk ahead inc flu hosp,2023-06-03,quantile,0.99,32.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.01,0.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.025,0.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.05,0.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.1,2.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.15,3.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.2,5.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.25,6.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.3,7.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.35,8.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.4,9.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.45,11.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.5,12.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.55,14.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.6,14.399999999999977
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.65,16.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.7,19.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.75,21.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.8,23.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.85,25.149999999999977
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.9,30.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.95,38.0
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.975,42.52499999999998
2023-05-29,01,2 wk ahead inc flu hosp,2023-06-10,quantile,0.99,47.01999999999998
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.01,0.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.025,0.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.05,0.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.1,0.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.15,0.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.2,1.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.25,2.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.3,4.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.35,6.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.4,8.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.45,10.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.5,12.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.55,14.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.6,16.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.65,19.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.7,21.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.75,23.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.8,27.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.85,31.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.9,36.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.95,42.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.975,49.0
2023-05-29,01,3 wk ahead inc flu hosp,2023-06-17,quantile,0.99,57.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.01,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.025,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.05,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.1,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.15,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.2,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.25,0.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.3,2.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.35,3.6499999999999773
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.4,6.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.45,9.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.5,11.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.55,13.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.6,15.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.65,18.0
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.7,21.299999999999955
2023-05-29,01,4 wk ahead inc flu hosp,2023-06-24,quantile,0.75,26.0
